"","Year","SIMD.2012.2016.Quintile","Gender","Age.group","Scottish.applicants","Accepted.Scottish.applicants"
"217",2007,"Quintile 2","Men","18",825,645
"219",2007,"Quintile 2","Men","19",255,200
"221",2007,"Quintile 2","Men","20",195,155
"223",2007,"Quintile 2","Men","21-24",410,315
"225",2007,"Quintile 2","Men","25-29",185,135
"227",2007,"Quintile 2","Men","30-34",90,70
"229",2007,"Quintile 2","Men","35 and over",145,95
"231",2007,"Quintile 2","Women","17 and under",90,55
"233",2007,"Quintile 2","Women","18",1245,950
"235",2007,"Quintile 2","Women","19",340,230
"237",2007,"Quintile 2","Women","20",275,205
"239",2007,"Quintile 2","Women","21-24",470,335
"241",2007,"Quintile 2","Women","25-29",245,170
"243",2007,"Quintile 2","Women","30-34",110,75
"245",2007,"Quintile 2","Women","35 and over",225,160
"247",2007,"Quintile 3","Men","17 and under",95,60
"249",2007,"Quintile 3","Men","18",1370,1120
"251",2007,"Quintile 3","Men","19",335,270
"253",2007,"Quintile 3","Men","20",220,165
"255",2007,"Quintile 3","Men","21-24",435,325
"257",2007,"Quintile 3","Men","25-29",205,150
"259",2007,"Quintile 3","Men","30-34",85,60
"261",2007,"Quintile 3","Men","35 and over",125,100
"263",2007,"Quintile 3","Women","17 and under",140,100
"265",2007,"Quintile 3","Women","18",1780,1350
"267",2007,"Quintile 3","Women","19",440,335
"269",2007,"Quintile 3","Women","20",295,215
"271",2007,"Quintile 3","Women","21-24",540,395
"273",2007,"Quintile 3","Women","25-29",250,170
"275",2007,"Quintile 3","Women","30-34",120,80
"277",2007,"Quintile 3","Women","35 and over",185,130
"279",2007,"Quintile 4","Men","17 and under",135,90
"281",2007,"Quintile 4","Men","18",1830,1525
"283",2007,"Quintile 4","Men","19",495,410
"285",2007,"Quintile 4","Men","20",275,220
"287",2007,"Quintile 4","Men","21-24",480,365
"289",2007,"Quintile 4","Men","25-29",190,140
"291",2007,"Quintile 4","Men","30-34",65,50
"293",2007,"Quintile 4","Men","35 and over",105,80
"295",2007,"Quintile 4","Women","17 and under",190,115
"297",2007,"Quintile 4","Women","18",2415,1955
"299",2007,"Quintile 4","Women","19",600,475
"301",2007,"Quintile 4","Women","20",335,240
"303",2007,"Quintile 4","Women","21-24",530,380
"305",2007,"Quintile 4","Women","25-29",200,135
"307",2007,"Quintile 4","Women","30-34",80,55
"309",2007,"Quintile 4","Women","35 and over",230,160
"311",2007,"Quintile 5","Men","17 and under",190,110
"313",2007,"Quintile 5","Men","18",2765,2370
"315",2007,"Quintile 5","Men","19",710,570
"317",2007,"Quintile 5","Men","20",375,285
"319",2007,"Quintile 5","Men","21-24",625,470
"321",2007,"Quintile 5","Men","25-29",205,155
"323",2007,"Quintile 5","Men","30-34",65,50
"325",2007,"Quintile 5","Men","35 and over",115,90
"327",2007,"Quintile 5","Women","17 and under",260,180
"329",2007,"Quintile 5","Women","18",3240,2680
"331",2007,"Quintile 5","Women","19",750,585
"333",2007,"Quintile 5","Women","20",380,290
"335",2007,"Quintile 5","Women","21-24",615,435
"337",2007,"Quintile 5","Women","25-29",235,160
"339",2007,"Quintile 5","Women","30-34",90,60
"341",2007,"Quintile 5","Women","35 and over",245,165
"343",2007,"Unknown","Men","17 and under",5,5
"345",2007,"Unknown","Men","18",40,30
"347",2007,"Unknown","Men","19",20,15
"349",2007,"Unknown","Men","20",15,15
"351",2007,"Unknown","Men","21-24",40,35
"353",2007,"Unknown","Men","25-29",25,20
"355",2007,"Unknown","Men","30-34",10,10
"357",2007,"Unknown","Men","35 and over",10,5
"359",2007,"Unknown","Women","17 and under",15,15
"361",2007,"Unknown","Women","18",50,40
"363",2007,"Unknown","Women","19",35,30
"365",2007,"Unknown","Women","20",25,20
"367",2007,"Unknown","Women","21-24",55,40
"369",2007,"Unknown","Women","25-29",20,15
"371",2007,"Unknown","Women","30-34",15,10
"373",2007,"Unknown","Women","35 and over",20,15
"375",2008,"Quintile 1","Men","17 and under",45,25
"377",2008,"Quintile 1","Men","18",555,415
"379",2008,"Quintile 1","Men","19",175,130
