"","Year","SIMD.2012.2016.Quintile","Gender","Age.group","Scottish.applicants","Accepted.Scottish.applicants"
"1115",2011,"Unknown","Men","20",10,10
"1117",2011,"Unknown","Men","21-24",25,15
"1119",2011,"Unknown","Men","25-29",5,5
"1121",2011,"Unknown","Men","30-34",5,5
"1123",2011,"Unknown","Men","35 and over",5,5
"1125",2011,"Unknown","Women","17 and under",5,0
"1127",2011,"Unknown","Women","18",30,25
"1129",2011,"Unknown","Women","19",20,20
"1131",2011,"Unknown","Women","20",15,10
"1133",2011,"Unknown","Women","21-24",45,30
"1135",2011,"Unknown","Women","25-29",10,5
"1137",2011,"Unknown","Women","30-34",15,10
"1139",2011,"Unknown","Women","35 and over",15,10
"1141",2012,"Quintile 1","Men","17 and under",25,15
"1143",2012,"Quintile 1","Men","18",655,445
"1145",2012,"Quintile 1","Men","19",230,160
"1147",2012,"Quintile 1","Men","20",255,180
"1149",2012,"Quintile 1","Men","21-24",510,325
"1151",2012,"Quintile 1","Men","25-29",325,195
"1153",2012,"Quintile 1","Men","30-34",215,135
"1155",2012,"Quintile 1","Men","35 and over",240,135
"1157",2012,"Quintile 1","Women","17 and under",50,30
"1159",2012,"Quintile 1","Women","18",1070,715
"1161",2012,"Quintile 1","Women","19",375,235
"1163",2012,"Quintile 1","Women","20",345,225
"1165",2012,"Quintile 1","Women","21-24",780,470
"1167",2012,"Quintile 1","Women","25-29",555,310
"1169",2012,"Quintile 1","Women","30-34",295,170
"1171",2012,"Quintile 1","Women","35 and over",420,240
"1173",2012,"Quintile 2","Men","17 and under",35,20
"1175",2012,"Quintile 2","Men","18",995,685
"1177",2012,"Quintile 2","Men","19",305,215
"1179",2012,"Quintile 2","Men","20",275,190
"1181",2012,"Quintile 2","Men","21-24",565,365
"1183",2012,"Quintile 2","Men","25-29",255,160
"1185",2012,"Quintile 2","Men","30-34",150,100
"1187",2012,"Quintile 2","Men","35 and over",180,115
"1189",2012,"Quintile 2","Women","17 and under",85,45
"1191",2012,"Quintile 2","Women","18",1520,1050
"1193",2012,"Quintile 2","Women","19",555,360
"1195",2012,"Quintile 2","Women","20",415,270
"1197",2012,"Quintile 2","Women","21-24",820,480
"1199",2012,"Quintile 2","Women","25-29",445,230
"1201",2012,"Quintile 2","Women","30-34",255,140
"1203",2012,"Quintile 2","Women","35 and over",335,195
"1205",2012,"Quintile 3","Men","17 and under",100,55
"1207",2012,"Quintile 3","Men","18",1550,1125
"1209",2012,"Quintile 3","Men","19",475,355
"1211",2012,"Quintile 3","Men","20",345,240
"1213",2012,"Quintile 3","Men","21-24",580,355
"1215",2012,"Quintile 3","Men","25-29",280,185
"1217",2012,"Quintile 3","Men","30-34",130,90
"1219",2012,"Quintile 3","Men","35 and over",175,110
"1221",2012,"Quintile 3","Women","17 and under",110,65
"1223",2012,"Quintile 3","Women","18",2160,1540
"1225",2012,"Quintile 3","Women","19",695,480
"1227",2012,"Quintile 3","Women","20",435,285
"1229",2012,"Quintile 3","Women","21-24",845,500
"1231",2012,"Quintile 3","Women","25-29",390,225
"1233",2012,"Quintile 3","Women","30-34",230,135
"1235",2012,"Quintile 3","Women","35 and over",370,240
"1237",2012,"Quintile 4","Men","17 and under",125,80
"1239",2012,"Quintile 4","Men","18",2025,1545
"1241",2012,"Quintile 4","Men","19",675,505
"1243",2012,"Quintile 4","Men","20",340,240
"1245",2012,"Quintile 4","Men","21-24",595,390
"1247",2012,"Quintile 4","Men","25-29",245,155
"1249",2012,"Quintile 4","Men","30-34",100,65
"1251",2012,"Quintile 4","Men","35 and over",150,105
"1253",2012,"Quintile 4","Women","17 and under",150,95
"1255",2012,"Quintile 4","Women","18",2845,2135
"1257",2012,"Quintile 4","Women","19",855,610
"1259",2012,"Quintile 4","Women","20",465,325
"1261",2012,"Quintile 4","Women","21-24",690,435
"1263",2012,"Quintile 4","Women","25-29",350,200
"1265",2012,"Quintile 4","Women","30-34",170,105
"1267",2012,"Quintile 4","Women","35 and over",325,195
"1269",2012,"Quintile 5","Men","17 and under",110,65
"1271",2012,"Quintile 5","Men","18",3020,2375
"1273",2012,"Quintile 5","Men","19",875,680
"1275",2012,"Quintile 5","Men","20",440,300
"1277",2012,"Quintile 5","Men","21-24",785,470
"1279",2012,"Quintile 5","Men","25-29",240,150
"1281",2012,"Quintile 5","Men","30-34",100,50
"1283",2012,"Quintile 5","Men","35 and over",110,80
"1285",2012,"Quintile 5","Women","17 and under",160,100
"1287",2012,"Quintile 5","Women","18",3570,2795
"1289",2012,"Quintile 5","Women","19",985,705
"1291",2012,"Quintile 5","Women","20",490,325
"1293",2012,"Quintile 5","Women","21-24",750,445
"1295",2012,"Quintile 5","Women","25-29",300,175
"1297",2012,"Quintile 5","Women","30-34",135,80
"1299",2012,"Quintile 5","Women","35 and over",265,145
"1301",2012,"Unknown","Men","18",25,20
"1303",2012,"Unknown","Men","19",20,15
"1305",2012,"Unknown","Men","20",10,5
"1307",2012,"Unknown","Men","21-24",30,25
"1309",2012,"Unknown","Men","25-29",15,15
"1311",2012,"Unknown","Men","30-34",5,5
"1313",2012,"Unknown","Men","35 and over",5,5
"1315",2012,"Unknown","Women","17 and under",10,5
"1317",2012,"Unknown","Women","18",30,25
"1319",2012,"Unknown","Women","19",15,10
"1321",2012,"Unknown","Women","20",15,5
"1323",2012,"Unknown","Women","21-24",40,20
"1325",2012,"Unknown","Women","25-29",30,15
"1327",2012,"Unknown","Women","30-34",10,5
"1329",2012,"Unknown","Women","35 and over",15,10
"1331",2013,"Quintile 1","Men","17 and under",40,15
"1333",2013,"Quintile 1","Men","18",670,485
"1335",2013,"Quintile 1","Men","19",225,155
"1337",2013,"Quintile 1","Men","20",270,185
"1339",2013,"Quintile 1","Men","21-24",575,375
"1341",2013,"Quintile 1","Men","25-29",340,210
"1343",2013,"Quintile 1","Men","30-34",200,135
"1345",2013,"Quintile 1","Men","35 and over",240,150
"1347",2013,"Quintile 1","Women","17 and under",40,25
"1349",2013,"Quintile 1","Women","18",1120,760
"1351",2013,"Quintile 1","Women","19",380,240
"1353",2013,"Quintile 1","Women","20",425,280
"1355",2013,"Quintile 1","Women","21-24",820,490
"1357",2013,"Quintile 1","Women","25-29",550,325
"1359",2013,"Quintile 1","Women","30-34",335,200
"1361",2013,"Quintile 1","Women","35 and over",405,220
"1363",2013,"Quintile 2","Men","17 and under",35,20
"1365",2013,"Quintile 2","Men","18",1005,730
"1367",2013,"Quintile 2","Men","19",335,220
"1369",2013,"Quintile 2","Men","20",330,230
"1371",2013,"Quintile 2","Men","21-24",625,415
"1373",2013,"Quintile 2","Men","25-29",295,180
"1375",2013,"Quintile 2","Men","30-34",160,100
"1377",2013,"Quintile 2","Men","35 and over",175,115
"1379",2013,"Quintile 2","Women","17 and under",60,40
"1381",2013,"Quintile 2","Women","18",1585,1135
"1383",2013,"Quintile 2","Women","19",470,305
"1385",2013,"Quintile 2","Women","20",410,260
"1387",2013,"Quintile 2","Women","21-24",825,505
"1389",2013,"Quintile 2","Women","25-29",445,240
"1391",2013,"Quintile 2","Women","30-34",240,135
"1393",2013,"Quintile 2","Women","35 and over",370,220
"1395",2013,"Quintile 3","Men","17 and under",95,65
"1397",2013,"Quintile 3","Men","18",1555,1140
"1399",2013,"Quintile 3","Men","19",475,330
"1401",2013,"Quintile 3","Men","20",345,230
"1403",2013,"Quintile 3","Men","21-24",640,410
"1405",2013,"Quintile 3","Men","25-29",285,170
"1407",2013,"Quintile 3","Men","30-34",150,95
"1409",2013,"Quintile 3","Men","35 and over",165,95
"1411",2013,"Quintile 3","Women","17 and under",110,65
"1413",2013,"Quintile 3","Women","18",2160,1530
"1415",2013,"Quintile 3","Women","19",695,485
"1417",2013,"Quintile 3","Women","20",455,310
"1419",2013,"Quintile 3","Women","21-24",850,500
"1421",2013,"Quintile 3","Women","25-29",395,245
"1423",2013,"Quintile 3","Women","30-34",235,135
"1425",2013,"Quintile 3","Women","35 and over",380,245
"1427",2013,"Quintile 4","Men","17 and under",80,50
"1429",2013,"Quintile 4","Men","18",2095,1570
"1431",2013,"Quintile 4","Men","19",610,460
"1433",2013,"Quintile 4","Men","20",405,285
"1435",2013,"Quintile 4","Men","21-24",670,430
"1437",2013,"Quintile 4","Men","25-29",265,170
"1439",2013,"Quintile 4","Men","30-34",85,55
"1441",2013,"Quintile 4","Men","35 and over",155,105
"1443",2013,"Quintile 4","Women","17 and under",110,75
"1445",2013,"Quintile 4","Women","18",2740,2040
"1447",2013,"Quintile 4","Women","19",855,625
"1449",2013,"Quintile 4","Women","20",505,340
"1451",2013,"Quintile 4","Women","21-24",840,545
"1453",2013,"Quintile 4","Women","25-29",385,215
"1455",2013,"Quintile 4","Women","30-34",200,125
"1457",2013,"Quintile 4","Women","35 and over",325,210
"1459",2013,"Quintile 5","Men","17 and under",90,45
"1461",2013,"Quintile 5","Men","18",2955,2280
"1463",2013,"Quintile 5","Men","19",845,625
"1465",2013,"Quintile 5","Men","20",505,345
"1467",2013,"Quintile 5","Men","21-24",775,510
"1469",2013,"Quintile 5","Men","25-29",260,165
"1471",2013,"Quintile 5","Men","30-34",110,55
"1473",2013,"Quintile 5","Men","35 and over",95,60
"1475",2013,"Quintile 5","Women","17 and under",145,90
"1477",2013,"Quintile 5","Women","18",3490,2810
"1479",2013,"Quintile 5","Women","19",950,690
"1481",2013,"Quintile 5","Women","20",510,360
"1483",2013,"Quintile 5","Women","21-24",800,505
"1485",2013,"Quintile 5","Women","25-29",285,155
"1487",2013,"Quintile 5","Women","30-34",135,65
"1489",2013,"Quintile 5","Women","35 and over",240,150
"1491",2013,"Unknown","Men","18",25,10
"1493",2013,"Unknown","Men","19",20,15
"1495",2013,"Unknown","Men","20",5,5
"1497",2013,"Unknown","Men","21-24",20,10
"1499",2013,"Unknown","Men","25-29",15,10
"1501",2013,"Unknown","Men","30-34",5,5
"1503",2013,"Unknown","Men","35 and over",10,5
"1505",2013,"Unknown","Women","17 and under",5,0
"1507",2013,"Unknown","Women","18",20,15
"1509",2013,"Unknown","Women","19",20,15
"1511",2013,"Unknown","Women","20",10,5
"1513",2013,"Unknown","Women","21-24",35,25
"1515",2013,"Unknown","Women","25-29",15,10
"1517",2013,"Unknown","Women","35 and over",5,5
"1519",2014,"Quintile 1","Men","17 and under",20,5
"1521",2014,"Quintile 1","Men","18",735,500
"1523",2014,"Quintile 1","Men","19",215,155
"1525",2014,"Quintile 1","Men","20",265,185
"1527",2014,"Quintile 1","Men","21-24",530,350
"1529",2014,"Quintile 1","Men","25-29",305,195
"1531",2014,"Quintile 1","Men","30-34",180,100
"1533",2014,"Quintile 1","Men","35 and over",245,130
"1535",2014,"Quintile 1","Women","17 and under",40,20
"1537",2014,"Quintile 1","Women","18",1275,825
"1539",2014,"Quintile 1","Women","19",395,265
"1541",2014,"Quintile 1","Women","20",365,245
"1543",2014,"Quintile 1","Women","21-24",865,540
"1545",2014,"Quintile 1","Women","25-29",600,335
"1547",2014,"Quintile 1","Women","30-34",345,190
"1549",2014,"Quintile 1","Women","35 and over",465,240
"1551",2014,"Quintile 2","Men","17 and under",35,15
"1553",2014,"Quintile 2","Men","18",1010,730
"1555",2014,"Quintile 2","Men","19",275,190
"1557",2014,"Quintile 2","Men","20",260,180
"1559",2014,"Quintile 2","Men","21-24",545,355
"1561",2014,"Quintile 2","Men","25-29",335,205
"1563",2014,"Quintile 2","Men","30-34",155,100
"1565",2014,"Quintile 2","Men","35 and over",175,105
"1567",2014,"Quintile 2","Women","17 and under",65,30
"1569",2014,"Quintile 2","Women","18",1615,1135
"1571",2014,"Quintile 2","Women","19",445,290
"1573",2014,"Quintile 2","Women","20",420,285
"1575",2014,"Quintile 2","Women","21-24",825,480
"1577",2014,"Quintile 2","Women","25-29",480,280
"1579",2014,"Quintile 2","Women","30-34",295,165
"1581",2014,"Quintile 2","Women","35 and over",345,190
"1583",2014,"Quintile 3","Men","17 and under",65,30
"1585",2014,"Quintile 3","Men","18",1465,1060
"1587",2014,"Quintile 3","Men","19",425,285
"1589",2014,"Quintile 3","Men","20",345,245
"1591",2014,"Quintile 3","Men","21-24",600,375
"1593",2014,"Quintile 3","Men","25-29",270,155
"1595",2014,"Quintile 3","Men","30-34",135,70
"1597",2014,"Quintile 3","Men","35 and over",150,75
"1599",2014,"Quintile 3","Women","17 and under",95,55
"1601",2014,"Quintile 3","Women","18",2205,1560
"1603",2014,"Quintile 3","Women","19",650,460
"1605",2014,"Quintile 3","Women","20",465,300
"1607",2014,"Quintile 3","Women","21-24",880,530
"1609",2014,"Quintile 3","Women","25-29",400,235
"1611",2014,"Quintile 3","Women","30-34",235,120
"1613",2014,"Quintile 3","Women","35 and over",335,190
"1615",2014,"Quintile 4","Men","17 and under",75,40
"1617",2014,"Quintile 4","Men","18",1970,1470
"1619",2014,"Quintile 4","Men","19",610,420
"1621",2014,"Quintile 4","Men","20",390,280
"1623",2014,"Quintile 4","Men","21-24",600,380
"1625",2014,"Quintile 4","Men","25-29",230,140
"1627",2014,"Quintile 4","Men","30-34",90,65
"1629",2014,"Quintile 4","Men","35 and over",120,75
"1631",2014,"Quintile 4","Women","17 and under",115,60
"1633",2014,"Quintile 4","Women","18",2820,2075
"1635",2014,"Quintile 4","Women","19",845,605
"1637",2014,"Quintile 4","Women","20",485,320
"1639",2014,"Quintile 4","Women","21-24",755,470
"1641",2014,"Quintile 4","Women","25-29",345,190
"1643",2014,"Quintile 4","Women","30-34",165,80
"1645",2014,"Quintile 4","Women","35 and over",270,165
"1647",2014,"Quintile 5","Men","17 and under",80,45
"1649",2014,"Quintile 5","Men","18",2885,2225
"1651",2014,"Quintile 5","Men","19",840,635
"1653",2014,"Quintile 5","Men","20",450,310
"1655",2014,"Quintile 5","Men","21-24",750,495
"1657",2014,"Quintile 5","Men","25-29",255,145
"1659",2014,"Quintile 5","Men","30-34",100,60
"1661",2014,"Quintile 5","Men","35 and over",105,60
"1663",2014,"Quintile 5","Women","17 and under",120,70
"1665",2014,"Quintile 5","Women","18",3420,2680
"1667",2014,"Quintile 5","Women","19",910,675
"1669",2014,"Quintile 5","Women","20",490,340
"1671",2014,"Quintile 5","Women","21-24",860,525
"1673",2014,"Quintile 5","Women","25-29",310,155
"1675",2014,"Quintile 5","Women","30-34",105,55
"1677",2014,"Quintile 5","Women","35 and over",240,140
"1679",2014,"Unknown","Men","18",10,5
"1681",2014,"Unknown","Men","19",10,5
"1683",2014,"Unknown","Men","20",5,5
"1685",2014,"Unknown","Men","21-24",15,5
"1687",2014,"Unknown","Men","25-29",10,10
"1689",2014,"Unknown","Men","30-34",5,5
"1691",2014,"Unknown","Women","18",10,5
"1693",2014,"Unknown","Women","19",15,10
"1695",2014,"Unknown","Women","20",5,0
"1697",2014,"Unknown","Women","21-24",25,20
"1699",2014,"Unknown","Women","25-29",15,10
"1701",2014,"Unknown","Women","30-34",10,10
"1703",2014,"Unknown","Women","35 and over",10,5
"1705",2015,"Quintile 1","Men","17 and under",30,15
"1707",2015,"Quintile 1","Men","18",750,480
"1709",2015,"Quintile 1","Men","19",195,145
"1711",2015,"Quintile 1","Men","20",265,185
"1713",2015,"Quintile 1","Men","21-24",630,390
"1715",2015,"Quintile 1","Men","25-29",380,235
"1717",2015,"Quintile 1","Men","30-34",225,130
"1719",2015,"Quintile 1","Men","35 and over",305,175
"1721",2015,"Quintile 1","Women","17 and under",55,35
"1723",2015,"Quintile 1","Women","18",1215,755
"1725",2015,"Quintile 1","Women","19",405,255
"1727",2015,"Quintile 1","Women","20",405,270
"1729",2015,"Quintile 1","Women","21-24",1055,650
"1731",2015,"Quintile 1","Women","25-29",775,425
"1733",2015,"Quintile 1","Women","30-34",465,270
"1735",2015,"Quintile 1","Women","35 and over",525,285
"1737",2015,"Quintile 2","Men","17 and under",35,25
"1739",2015,"Quintile 2","Men","18",1030,740
"1741",2015,"Quintile 2","Men","19",270,190
"1743",2015,"Quintile 2","Men","20",290,215
"1745",2015,"Quintile 2","Men","21-24",700,485
"1747",2015,"Quintile 2","Men","25-29",395,245
"1749",2015,"Quintile 2","Men","30-34",180,100
"1751",2015,"Quintile 2","Men","35 and over",255,150
"1753",2015,"Quintile 2","Women","17 and under",90,50
"1755",2015,"Quintile 2","Women","18",1735,1235
"1757",2015,"Quintile 2","Women","19",515,360
"1759",2015,"Quintile 2","Women","20",395,295
"1761",2015,"Quintile 2","Women","21-24",1090,665
"1763",2015,"Quintile 2","Women","25-29",735,405
"1765",2015,"Quintile 2","Women","30-34",355,200
"1767",2015,"Quintile 2","Women","35 and over",520,290
"1769",2015,"Quintile 3","Men","17 and under",80,55
"1771",2015,"Quintile 3","Men","18",1580,1120
"1773",2015,"Quintile 3","Men","19",485,355
"1775",2015,"Quintile 3","Men","20",345,235
"1777",2015,"Quintile 3","Men","21-24",665,430
"1779",2015,"Quintile 3","Men","25-29",360,205
"1781",2015,"Quintile 3","Men","30-34",165,90
"1783",2015,"Quintile 3","Men","35 and over",245,165
"1785",2015,"Quintile 3","Women","17 and under",135,85
"1787",2015,"Quintile 3","Women","18",2310,1660
"1789",2015,"Quintile 3","Women","19",715,510
"1791",2015,"Quintile 3","Women","20",495,345
"1793",2015,"Quintile 3","Women","21-24",1115,680
"1795",2015,"Quintile 3","Women","25-29",610,370
"1797",2015,"Quintile 3","Women","30-34",325,175
"1799",2015,"Quintile 3","Women","35 and over",520,310
"1801",2015,"Quintile 4","Men","17 and under",90,60
"1803",2015,"Quintile 4","Men","18",2095,1575
"1805",2015,"Quintile 4","Men","19",720,520
"1807",2015,"Quintile 4","Men","20",450,325
"1809",2015,"Quintile 4","Men","21-24",715,460
"1811",2015,"Quintile 4","Men","25-29",345,195
"1813",2015,"Quintile 4","Men","30-34",120,70
"1815",2015,"Quintile 4","Men","35 and over",195,125
"1817",2015,"Quintile 4","Women","17 and under",130,75
"1819",2015,"Quintile 4","Women","18",2830,2130
"1821",2015,"Quintile 4","Women","19",895,665
"1823",2015,"Quintile 4","Women","20",500,365
"1825",2015,"Quintile 4","Women","21-24",1060,675
"1827",2015,"Quintile 4","Women","25-29",520,305
"1829",2015,"Quintile 4","Women","30-34",295,175
"1831",2015,"Quintile 4","Women","35 and over",490,280
"1833",2015,"Quintile 5","Men","17 and under",105,60
"1835",2015,"Quintile 5","Men","18",2875,2245
"1837",2015,"Quintile 5","Men","19",885,645
"1839",2015,"Quintile 5","Men","20",465,335
"1841",2015,"Quintile 5","Men","21-24",835,545
"1843",2015,"Quintile 5","Men","25-29",350,200
"1845",2015,"Quintile 5","Men","30-34",140,85
"1847",2015,"Quintile 5","Men","35 and over",145,90
"1849",2015,"Quintile 5","Women","17 and under",135,85
"1851",2015,"Quintile 5","Women","18",3540,2760
"1853",2015,"Quintile 5","Women","19",970,730
"1855",2015,"Quintile 5","Women","20",520,370
"1857",2015,"Quintile 5","Women","21-24",1100,665
"1859",2015,"Quintile 5","Women","25-29",555,320
"1861",2015,"Quintile 5","Women","30-34",215,125
"1863",2015,"Quintile 5","Women","35 and over",415,240
"1865",2015,"Unknown","Men","18",15,10
"1867",2015,"Unknown","Men","19",15,10
"1869",2015,"Unknown","Men","20",5,5
"1871",2015,"Unknown","Men","21-24",15,15
"1873",2015,"Unknown","Men","25-29",15,10
"1875",2015,"Unknown","Men","30-34",5,5
"1877",2015,"Unknown","Men","35 and over",10,5
"1879",2015,"Unknown","Women","18",25,20
"1881",2015,"Unknown","Women","19",15,10
"1883",2015,"Unknown","Women","20",10,5
"1885",2015,"Unknown","Women","21-24",20,10
"1887",2015,"Unknown","Women","25-29",10,10
"1889",2015,"Unknown","Women","30-34",5,0
"1891",2015,"Unknown","Women","35 and over",5,5
"1893",2016,"Quintile 1","Men","17 and under",35,20
"1895",2016,"Quintile 1","Men","18",735,495
"1897",2016,"Quintile 1","Men","19",215,145
"1899",2016,"Quintile 1","Men","20",265,180
"1901",2016,"Quintile 1","Men","21-24",670,440
"1903",2016,"Quintile 1","Men","25-29",395,250
"1905",2016,"Quintile 1","Men","30-34",230,140
"1907",2016,"Quintile 1","Men","35 and over",305,170
"1909",2016,"Quintile 1","Women","17 and under",55,30
"1911",2016,"Quintile 1","Women","18",1320,845
"1913",2016,"Quintile 1","Women","19",415,275
"1915",2016,"Quintile 1","Women","20",415,270
"1917",2016,"Quintile 1","Women","21-24",1055,630
"1919",2016,"Quintile 1","Women","25-29",765,435
"1921",2016,"Quintile 1","Women","30-34",475,245
"1923",2016,"Quintile 1","Women","35 and over",565,305
"1925",2016,"Quintile 2","Men","17 and under",40,25
"1927",2016,"Quintile 2","Men","18",965,710
"1929",2016,"Quintile 2","Men","19",300,210
"1931",2016,"Quintile 2","Men","20",285,205
"1933",2016,"Quintile 2","Men","21-24",740,495
"1935",2016,"Quintile 2","Men","25-29",435,285
"1937",2016,"Quintile 2","Men","30-34",185,110
"1939",2016,"Quintile 2","Men","35 and over",235,135
"1941",2016,"Quintile 2","Women","17 and under",60,40
"1943",2016,"Quintile 2","Women","18",1775,1275
"1945",2016,"Quintile 2","Women","19",555,355
"1947",2016,"Quintile 2","Women","20",445,315
"1949",2016,"Quintile 2","Women","21-24",1045,655
"1951",2016,"Quintile 2","Women","25-29",720,405
"1953",2016,"Quintile 2","Women","30-34",380,205
"1955",2016,"Quintile 2","Women","35 and over",505,295
"1957",2016,"Quintile 3","Men","17 and under",90,60
"1959",2016,"Quintile 3","Men","18",1435,1090
"1961",2016,"Quintile 3","Men","19",520,385
"1963",2016,"Quintile 3","Men","20",370,250
"1965",2016,"Quintile 3","Men","21-24",720,490
"1967",2016,"Quintile 3","Men","25-29",375,220
"1969",2016,"Quintile 3","Men","30-34",195,115
"1971",2016,"Quintile 3","Men","35 and over",250,150
"1973",2016,"Quintile 3","Women","17 and under",115,70
"1975",2016,"Quintile 3","Women","18",2260,1655
"1977",2016,"Quintile 3","Women","19",745,530
"1979",2016,"Quintile 3","Women","20",500,370
"1981",2016,"Quintile 3","Women","21-24",1095,685
"1983",2016,"Quintile 3","Women","25-29",695,415
"1985",2016,"Quintile 3","Women","30-34",375,225
"1987",2016,"Quintile 3","Women","35 and over",555,320
"1989",2016,"Quintile 4","Men","17 and under",105,75
"1991",2016,"Quintile 4","Men","18",2065,1595
"1993",2016,"Quintile 4","Men","19",700,525
"1995",2016,"Quintile 4","Men","20",440,325
"1997",2016,"Quintile 4","Men","21-24",715,475
"1999",2016,"Quintile 4","Men","25-29",350,205
"2001",2016,"Quintile 4","Men","30-34",155,90
"2003",2016,"Quintile 4","Men","35 and over",230,130
"2005",2016,"Quintile 4","Women","17 and under",165,90
"2007",2016,"Quintile 4","Women","18",2855,2155
"2009",2016,"Quintile 4","Women","19",915,670
"2011",2016,"Quintile 4","Women","20",520,360
"2013",2016,"Quintile 4","Women","21-24",1090,685
"2015",2016,"Quintile 4","Women","25-29",585,320
"2017",2016,"Quintile 4","Women","30-34",295,145
"2019",2016,"Quintile 4","Women","35 and over",580,325
"2021",2016,"Quintile 5","Men","17 and under",110,70
"2023",2016,"Quintile 5","Men","18",2830,2280
"2025",2016,"Quintile 5","Men","19",895,690
"2027",2016,"Quintile 5","Men","20",475,350
"2029",2016,"Quintile 5","Men","21-24",925,625
"2031",2016,"Quintile 5","Men","25-29",375,205
"2033",2016,"Quintile 5","Men","30-34",130,75
"2035",2016,"Quintile 5","Men","35 and over",210,120
"2037",2016,"Quintile 5","Women","17 and under",150,90
"2039",2016,"Quintile 5","Women","18",3450,2760
"2041",2016,"Quintile 5","Women","19",1045,770
"2043",2016,"Quintile 5","Women","20",510,365
"2045",2016,"Quintile 5","Women","21-24",1115,695
"2047",2016,"Quintile 5","Women","25-29",580,320
"2049",2016,"Quintile 5","Women","30-34",205,105
"2051",2016,"Quintile 5","Women","35 and over",480,255
"2053",2016,"Unknown","Men","18",10,5
"2055",2016,"Unknown","Men","19",15,10
"2057",2016,"Unknown","Men","20",5,5
"2059",2016,"Unknown","Men","21-24",15,10
"2061",2016,"Unknown","Men","25-29",10,5
"2063",2016,"Unknown","Men","30-34",10,5
"2065",2016,"Unknown","Men","35 and over",5,5
"2067",2016,"Unknown","Women","18",20,15
"2069",2016,"Unknown","Women","19",15,10
"2071",2016,"Unknown","Women","20",10,5
"2073",2016,"Unknown","Women","21-24",35,20
"2075",2016,"Unknown","Women","25-29",15,10
"2077",2016,"Unknown","Women","30-34",5,0
"2079",2016,"Unknown","Women","35 and over",5,0
"2081",2017,"Quintile 1","Men","17 and under",35,25
"2083",2017,"Quintile 1","Men","18",730,535
"2085",2017,"Quintile 1","Men","19",240,180
"2087",2017,"Quintile 1","Men","20",285,195
"2089",2017,"Quintile 1","Men","21-24",635,435
"2091",2017,"Quintile 1","Men","25-29",410,270
"2093",2017,"Quintile 1","Men","30-34",195,135
"2095",2017,"Quintile 1","Men","35 and over",290,165
"2097",2017,"Quintile 1","Women","17 and under",65,35
"2099",2017,"Quintile 1","Women","18",1305,885
"2101",2017,"Quintile 1","Women","19",415,290
"2103",2017,"Quintile 1","Women","20",425,290
"2105",2017,"Quintile 1","Women","21-24",1085,700
"2107",2017,"Quintile 1","Women","25-29",755,465
"2109",2017,"Quintile 1","Women","30-34",505,320
"2111",2017,"Quintile 1","Women","35 and over",620,370
"2113",2017,"Quintile 2","Men","17 and under",60,45
"2115",2017,"Quintile 2","Men","18",950,745
"2117",2017,"Quintile 2","Men","19",290,220
"2119",2017,"Quintile 2","Men","20",275,205
"2121",2017,"Quintile 2","Men","21-24",645,460
"2123",2017,"Quintile 2","Men","25-29",355,230
"2125",2017,"Quintile 2","Men","30-34",155,100
"2127",2017,"Quintile 2","Men","35 and over",235,150
"2129",2017,"Quintile 2","Women","17 and under",75,50
"2131",2017,"Quintile 2","Women","18",1690,1260
"2133",2017,"Quintile 2","Women","19",525,375
"2135",2017,"Quintile 2","Women","20",440,320
"2137",2017,"Quintile 2","Women","21-24",1000,645
"2139",2017,"Quintile 2","Women","25-29",725,465
"2141",2017,"Quintile 2","Women","30-34",400,245
"2143",2017,"Quintile 2","Women","35 and over",565,345
"2145",2017,"Quintile 3","Men","17 and under",95,60
"2147",2017,"Quintile 3","Men","18",1380,1025
"2149",2017,"Quintile 3","Men","19",500,350
"2151",2017,"Quintile 3","Men","20",340,250
"2153",2017,"Quintile 3","Men","21-24",655,435
"2155",2017,"Quintile 3","Men","25-29",335,220
"2157",2017,"Quintile 3","Men","30-34",160,105
"2159",2017,"Quintile 3","Men","35 and over",220,135
"2161",2017,"Quintile 3","Women","17 and under",115,80
"2163",2017,"Quintile 3","Women","18",2180,1605
"2165",2017,"Quintile 3","Women","19",710,495
"2167",2017,"Quintile 3","Women","20",515,360
"2169",2017,"Quintile 3","Women","21-24",1035,645
"2171",2017,"Quintile 3","Women","25-29",660,420
"2173",2017,"Quintile 3","Women","30-34",370,240
"2175",2017,"Quintile 3","Women","35 and over",600,355
"2177",2017,"Quintile 4","Men","17 and under",105,75
"2179",2017,"Quintile 4","Men","18",1920,1510
"2181",2017,"Quintile 4","Men","19",675,500
"2183",2017,"Quintile 4","Men","20",425,305
"2185",2017,"Quintile 4","Men","21-24",760,525
"2187",2017,"Quintile 4","Men","25-29",365,215
"2189",2017,"Quintile 4","Men","30-34",165,100
"2191",2017,"Quintile 4","Men","35 and over",200,115
"2193",2017,"Quintile 4","Women","17 and under",145,85
"2195",2017,"Quintile 4","Women","18",2810,2160
"2197",2017,"Quintile 4","Women","19",950,715
"2199",2017,"Quintile 4","Women","20",565,390
"2201",2017,"Quintile 4","Women","21-24",1120,725
"2203",2017,"Quintile 4","Women","25-29",600,355
"2205",2017,"Quintile 4","Women","30-34",305,185
"2207",2017,"Quintile 4","Women","35 and over",600,340
"2209",2017,"Quintile 5","Men","17 and under",140,90
"2211",2017,"Quintile 5","Men","18",2770,2275
